timestamp,rssi
0.0,-inf
0.1,-inf
0.2,-inf
0.30000000000000004,-inf
0.4,-inf
0.5,-inf
0.6000000000000001,-inf
0.7000000000000001,-inf
0.8,-inf
0.9,-inf
1.0,-inf
1.1,-inf
1.2000000000000002,-inf
1.3,-inf
1.4000000000000001,-inf
1.5,-inf
1.6,-inf
1.7000000000000002,-inf
1.8,-inf
1.9000000000000001,-inf
2.0,-inf
2.1,-inf
2.2,-inf
2.3000000000000003,-inf
2.4000000000000004,-inf
2.5,-inf
2.6,-inf
2.7,-inf
2.8000000000000003,-inf
2.9000000000000004,-inf
3.0,-inf
3.1,-inf
3.2,-inf
3.3000000000000003,-inf
3.4000000000000004,-inf
3.5,-inf
3.6,-inf
3.7,-inf
3.8000000000000003,-inf
3.9000000000000004,-inf
4.0,-inf
4.1000000000000005,-inf
4.2,-inf
4.3,-inf
4.4,-inf
4.5,-inf
4.6000000000000005,-inf
4.7,-inf
4.800000000000001,-inf
4.9,-inf
5.0,-inf
5.1000000000000005,-inf
5.2,-inf
5.300000000000001,-inf
5.4,-inf
5.5,-inf
5.6000000000000005,-inf
5.7,-inf
5.800000000000001,-inf
5.9,-inf
6.0,-inf
6.1000000000000005,-inf
6.2,-inf
6.300000000000001,-inf
6.4,-inf
6.5,-inf
6.6000000000000005,-inf
6.7,-inf
6.800000000000001,-inf
6.9,-inf
7.0,-inf
7.1000000000000005,-inf
7.2,-inf
7.300000000000001,-inf
7.4,-inf
7.5,-inf
7.6000000000000005,-inf
7.7,-inf
7.800000000000001,-inf
7.9,-inf
8.0,-inf
8.1,-inf
8.200000000000001,-inf
8.3,-inf
8.4,-inf
8.5,-inf
8.6,-inf
8.700000000000001,-inf
8.8,-inf
8.9,-inf
9.0,-inf
9.1,-inf
9.200000000000001,-inf
9.3,-inf
9.4,-inf
9.5,-inf
9.600000000000001,-inf
9.700000000000001,-inf
9.8,-inf
9.9,-inf
10.0,-inf
10.100000000000001,-inf
10.200000000000001,-inf
10.3,-inf
10.4,-inf
10.5,-inf
10.600000000000001,-inf
10.700000000000001,-inf
10.8,-inf
10.9,-inf
11.0,-inf
11.100000000000001,-inf
11.200000000000001,-inf
11.3,-inf
11.4,-inf
11.5,-inf
11.600000000000001,-inf
11.700000000000001,
11.8,-inf
11.9,-inf
12.0,-inf
12.100000000000001,-inf
12.200000000000001,-inf
12.3,-inf
12.4,-inf
12.5,-inf
12.600000000000001,-inf
12.700000000000001,-inf
12.8,-inf
12.9,-inf
13.0,-inf
13.100000000000001,-inf
13.200000000000001,-inf
13.3,-inf
13.4,-inf
13.5,-inf
13.600000000000001,-inf
13.700000000000001,-inf
13.8,-inf
13.9,-inf
14.0,-inf
14.100000000000001,-inf
14.200000000000001,-inf
14.3,-inf
14.4,-inf
14.5,-inf
14.600000000000001,-inf
14.700000000000001,-inf
14.8,-inf
14.9,-inf
